vote_2020,age,gender,interest,state,household_income,hispanic,education,ideo5,vote_trump,vote_Biden,agegroup,race
Donald Trump,34,Male,Most of the time,OR,"$45,000 to $49,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,21 to 35,White
Donald Trump,57,Female,Some of the time,PA,"Less than $14,999",Not Hispanic,High school graduate,Conservative,1,0,51 to 65,White
Joe Biden,47,Female,Some of the time,LA,"$25,000 to $29,999",Not Hispanic,Associate Degree,Liberal,0,1,36 to 50,White
Donald Trump,34,Male,Most of the time,NV,"$30,000 to $34,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,1,0,21 to 35,White
Joe Biden,23,Male,Some of the time,CA,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,21 to 35,White
Joe Biden,20,Male,Only now and then,SC,"$25,000 to $29,999",Not Hispanic,High school graduate,Very Liberal,0,1,20 or less,White
Joe Biden,79,Female,Some of the time,SC,"$35,000 to $39,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,66 to 80,"Black, or African American"
Joe Biden,28,Female,Some of the time,PA,"$15,000 to $19,999",Not Hispanic,Associate Degree,Very Liberal,0,1,21 to 35,White
Donald Trump,66,Female,Some of the time,VA,"$20,000 to $24,999",Not Hispanic,Associate Degree,Not Sure,1,0,66 to 80,White
Joe Biden,32,Female,Some of the time,TX,"$40,000 to $44,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,21 to 35,White
Joe Biden,40,Female,Most of the time,CA,"Less than $14,999",Mexican,High school graduate,Liberal,0,1,36 to 50,Other race
Joe Biden,56,Male,Most of the time,AZ,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,51 to 65,other asian or pacific islander
Joe Biden,72,Female,Most of the time,NY,"$45,000 to $49,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,66 to 80,White
Donald Trump,59,Female,Most of the time,AL,"$30,000 to $34,999",Not Hispanic,"Completed some college, but no degree",Moderate,1,0,51 to 65,White
Joe Biden,65,Female,Most of the time,IA,"$90,000 to $94,999",Not Hispanic,Masters degree,Liberal,0,1,51 to 65,White
Donald Trump,57,Female,Most of the time,NJ,"$25,000 to $29,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,51 to 65,White
Joe Biden,28,Male,Some of the time,NV,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,21 to 35,White
Donald Trump,52,Male,Most of the time,IN,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,51 to 65,White
Joe Biden,65,Female,Most of the time,CT,"$100,000 to $124,999",Not Hispanic,Associate Degree,Liberal,0,1,51 to 65,White
Joe Biden,80,Female,Some of the time,OH,"$50,000 to $54,999",Not Hispanic,Associate Degree,Moderate,0,1,66 to 80,"Black, or African American"
Joe Biden,35,Male,Most of the time,OH,"$95,000 to $99,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Not Sure,0,1,21 to 35,other asian or pacific islander
Joe Biden,44,Male,Most of the time,PA,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,36 to 50,White
Joe Biden,65,Female,Some of the time,NM,"$15,000 to $19,999",Mexican,High school graduate,Conservative,0,1,51 to 65,Other race
Joe Biden,59,Male,Most of the time,CO,"$200,000 to $249,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,51 to 65,White
Joe Biden,34,Female,Most of the time,AZ,"Less than $14,999",Mexican,Completed some high school,Liberal,0,1,21 to 35,Other race
Joe Biden,23,Female,Some of the time,CA,"Less than $14,999",Mexican,"College Degree (such as B.A., B.S.)",Very Liberal,0,1,21 to 35,Other race
Joe Biden,50,Female,Hardly at all,HI,"$125,000 to $149,999",Not Hispanic,Masters degree,Conservative,0,1,36 to 50,Chinese
Donald Trump,53,Female,Some of the time,CA,"$80,000 to $84,999",Spanish,High school graduate,Conservative,1,0,51 to 65,White
Donald Trump,41,Male,Only now and then,VA,"$200,000 to $249,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,36 to 50,other asian or pacific islander
Joe Biden,36,Male,Some of the time,HI,"$45,000 to $49,999",Not Hispanic,Associate Degree,Moderate,0,1,36 to 50,White
Joe Biden,49,Male,Some of the time,NY,"$175,000 to $199,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,36 to 50,other asian or pacific islander
Donald Trump,30,Male,Most of the time,CA,"$100,000 to $124,999",Mexican,Masters degree,Very Liberal,1,0,21 to 35,White
Joe Biden,68,Male,Only now and then,WA,"$15,000 to $19,999",Not Hispanic,High school graduate,Conservative,0,1,66 to 80,White
Donald Trump,21,Female,Only now and then,OH,"Less than $14,999",Not Hispanic,Completed some high school,Not Sure,1,0,21 to 35,White
Joe Biden,20,Male,Some of the time,NY,"Less than $14,999",Other Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,20 or less,other asian or pacific islander
Donald Trump,27,Male,Most of the time,TX,"$20,000 to $24,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Liberal,1,0,21 to 35,"Black, or African American"
Donald Trump,50,Female,Only now and then,NV,"Less than $14,999",Not Hispanic,Completed some high school,Moderate,1,0,36 to 50,"Black, or African American"
Donald Trump,59,Male,Most of the time,RI,"$20,000 to $24,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,51 to 65,White
Joe Biden,19,Female,Most of the time,NY,"$100,000 to $124,999",Not Hispanic,High school graduate,Moderate,0,1,20 or less,"Black, or African American"
Joe Biden,35,Male,Some of the time,OH,"$40,000 to $44,999",Not Hispanic,High school graduate,Moderate,0,1,21 to 35,White
Joe Biden,37,Female,Most of the time,CT,"$40,000 to $44,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Liberal,0,1,36 to 50,White
Joe Biden,33,Male,Some of the time,NY,"$15,000 to $19,999",Mexican,"College Degree (such as B.A., B.S.)",Not Sure,0,1,21 to 35,White
Joe Biden,30,Male,Only now and then,CA,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,0,1,21 to 35,White
Joe Biden,37,Male,Only now and then,IL,"$40,000 to $44,999",Not Hispanic,Completed some high school,Moderate,0,1,36 to 50,White
Donald Trump,35,Female,Most of the time,AL,"$50,000 to $54,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,1,0,21 to 35,White
Donald Trump,50,Female,Some of the time,SC,"$40,000 to $44,999",Not Hispanic,Completed some high school,Moderate,1,0,36 to 50,White
Donald Trump,66,Male,Some of the time,TX,"$175,000 to $199,999",Not Hispanic,"Completed some college, but no degree",Very Conservative,1,0,66 to 80,White
Donald Trump,35,Male,Some of the time,AZ,"$30,000 to $34,999",Mexican,High school graduate,Moderate,1,0,21 to 35,White
Joe Biden,45,Female,Some of the time,IL,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,36 to 50,White
Joe Biden,43,Female,Most of the time,NY,"Less than $14,999",Not Hispanic,Completed some high school,Not Sure,0,1,36 to 50,White
Donald Trump,40,Female,Most of the time,CA,"$30,000 to $34,999",Mexican,Associate Degree,Very Conservative,1,0,36 to 50,White
Joe Biden,32,Female,Most of the time,TX,"Less than $14,999",Mexican,"College Degree (such as B.A., B.S.)",Moderate,0,1,21 to 35,Other race
Donald Trump,36,Male,Some of the time,CA,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,36 to 50,White
Joe Biden,39,Male,Most of the time,NJ,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,0,1,36 to 50,White
Joe Biden,61,Female,Some of the time,MS,"$35,000 to $39,999",Not Hispanic,Associate Degree,Very Liberal,0,1,51 to 65,"Black, or African American"
Joe Biden,19,Female,Most of the time,GA,"$90,000 to $94,999",Not Hispanic,Completed some high school,Moderate,0,1,20 or less,White
Joe Biden,44,Female,Most of the time,NY,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,36 to 50,other asian or pacific islander
Joe Biden,54,Female,Some of the time,NY,"$90,000 to $94,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Liberal,0,1,51 to 65,White
Donald Trump,18,Male,Hardly at all,PA,"$35,000 to $39,999",Not Hispanic,Completed some high school,Moderate,1,0,20 or less,White
Joe Biden,64,Female,Most of the time,FL,"$85,000 to $89,999",Not Hispanic,Masters degree,Very Liberal,0,1,51 to 65,White
Donald Trump,51,Female,Most of the time,NC,"$70,000 to $74,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,1,0,51 to 65,Chinese
Joe Biden,71,Female,Only now and then,MN,"$50,000 to $54,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,66 to 80,White
Joe Biden,20,Female,Some of the time,VA,"$100,000 to $124,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,20 or less,White
Joe Biden,25,Female,Most of the time,TX,"$125,000 to $149,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,21 to 35,White
Donald Trump,19,Female,Most of the time,OR,"$80,000 to $84,999",Not Hispanic,Associate Degree,Very Conservative,1,0,20 or less,White
Joe Biden,52,Female,Most of the time,CA,"$45,000 to $49,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,51 to 65,White
Donald Trump,54,Male,Most of the time,WI,"$90,000 to $94,999",Not Hispanic,Associate Degree,Very Conservative,1,0,51 to 65,White
Joe Biden,38,Female,Some of the time,IL,"$95,000 to $99,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,36 to 50,White
Joe Biden,36,Female,Some of the time,SC,"$20,000 to $24,999",Not Hispanic,Completed some high school,Very Liberal,0,1,36 to 50,"Black, or African American"
Joe Biden,27,Female,Some of the time,NC,"$100,000 to $124,999",Not Hispanic,Masters degree,Liberal,0,1,21 to 35,White
Joe Biden,22,Female,Only now and then,CA,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,21 to 35,White
Donald Trump,71,Male,Most of the time,PA,"$200,000 to $249,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,66 to 80,White
Donald Trump,65,Male,Most of the time,NY,"$50,000 to $54,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,51 to 65,White
Joe Biden,60,Female,Some of the time,PA,"$30,000 to $34,999",Not Hispanic,"Completed some college, but no degree",Conservative,0,1,51 to 65,White
Donald Trump,56,Female,Most of the time,MO,"$45,000 to $49,999",Not Hispanic,"Completed some college, but no degree",Very Conservative,1,0,51 to 65,White
Donald Trump,49,Female,Hardly at all,TX,"$175,000 to $199,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,36 to 50,White
Donald Trump,67,Female,Most of the time,OR,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,66 to 80,White
Joe Biden,48,Male,Most of the time,CA,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,36 to 50,Chinese
Donald Trump,40,Male,Some of the time,SD,"$40,000 to $44,999",Not Hispanic,Middle School - Grades 4 - 8,Moderate,1,0,36 to 50,White
Joe Biden,68,Male,Most of the time,CA,"$35,000 to $39,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,66 to 80,White
Joe Biden,73,Female,Some of the time,GA,"$25,000 to $29,999",Not Hispanic,"Completed some college, but no degree",Not Sure,0,1,66 to 80,"Black, or African American"
Donald Trump,49,Male,Most of the time,TX,"$25,000 to $29,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,36 to 50,White
Joe Biden,72,Male,Most of the time,MI,"$95,000 to $99,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,0,1,66 to 80,White
Donald Trump,42,Male,Most of the time,MD,"$175,000 to $199,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,36 to 50,White
Joe Biden,49,Male,Most of the time,LA,"$55,000 to $59,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,36 to 50,"Black, or African American"
Joe Biden,59,Female,Most of the time,NJ,"$35,000 to $39,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,51 to 65,"Black, or African American"
Donald Trump,39,Male,Most of the time,UT,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Moderate,1,0,36 to 50,White
Joe Biden,25,Male,Only now and then,CA,"Less than $14,999",Not Hispanic,Completed some high school,Very Liberal,0,1,21 to 35,White
Donald Trump,57,Male,Some of the time,CA,"$30,000 to $34,999",Not Hispanic,High school graduate,Conservative,1,0,51 to 65,White
Donald Trump,46,Male,Only now and then,TN,"$100,000 to $124,999",Not Hispanic,High school graduate,Conservative,1,0,36 to 50,White
Donald Trump,62,Male,Some of the time,KY,"$55,000 to $59,999",Not Hispanic,High school graduate,Moderate,1,0,51 to 65,White
Donald Trump,33,Female,Most of the time,CA,"$45,000 to $49,999",Cuban,"Completed some college, but no degree",Conservative,1,0,21 to 35,White
Joe Biden,53,Male,Only now and then,TX,"$100,000 to $124,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,51 to 65,"Black, or African American"
Joe Biden,44,Male,Most of the time,IL,"$50,000 to $54,999",Not Hispanic,High school graduate,Conservative,0,1,36 to 50,White
Donald Trump,38,Male,Most of the time,NY,"$200,000 to $249,999",Not Hispanic,Masters degree,Very Liberal,1,0,36 to 50,White
Donald Trump,66,Male,Some of the time,NV,"$45,000 to $49,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,66 to 80,White
Donald Trump,46,Male,Hardly at all,ID,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Liberal,1,0,36 to 50,White
Donald Trump,35,Male,Some of the time,GA,"$80,000 to $84,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,21 to 35,White
Joe Biden,35,Female,Some of the time,GA,"$70,000 to $74,999",Not Hispanic,Completed some high school,Conservative,0,1,21 to 35,"Black, or African American"
Donald Trump,53,Male,Some of the time,CO,"$40,000 to $44,999",Not Hispanic,"Completed some college, but no degree",Moderate,1,0,51 to 65,White
Donald Trump,52,Female,Only now and then,OR,"$30,000 to $34,999",Not Hispanic,Completed some high school,Moderate,1,0,51 to 65,White
Donald Trump,65,Female,Most of the time,WA,"$85,000 to $89,999",Not Hispanic,Associate Degree,Moderate,1,0,51 to 65,American Indian or Alaska Native
Joe Biden,74,Male,Most of the time,ID,"$75,000 to $79,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,66 to 80,White
Joe Biden,45,Male,Some of the time,CA,"$250,000 and above",Not Hispanic,Masters degree,Moderate,0,1,36 to 50,White
Joe Biden,24,Female,Only now and then,NY,"$75,000 to $79,999",Mexican,Completed some high school,Moderate,0,1,21 to 35,Other race
Joe Biden,61,Male,Some of the time,MI,"$20,000 to $24,999",Not Hispanic,High school graduate,Liberal,0,1,51 to 65,"Black, or African American"
Donald Trump,49,Male,Some of the time,FL,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,36 to 50,White
Donald Trump,29,Male,Some of the time,CO,"$30,000 to $34,999",Not Hispanic,Associate Degree,Conservative,1,0,21 to 35,White
Donald Trump,30,Male,Only now and then,LA,"Less than $14,999",Not Hispanic,Completed some high school,Not Sure,1,0,21 to 35,White
Joe Biden,36,Female,Most of the time,TX,"$30,000 to $34,999",Not Hispanic,"Completed some college, but no degree",Not Sure,0,1,36 to 50,White
Joe Biden,20,Male,Some of the time,FL,"$40,000 to $44,999",Mexican,"Completed some college, but no degree",Moderate,0,1,20 or less,White
Joe Biden,38,Female,Some of the time,AZ,"$150,000 to $174,999",Not Hispanic,Masters degree,Moderate,0,1,36 to 50,other asian or pacific islander
Joe Biden,39,Male,Most of the time,WA,"$70,000 to $74,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,36 to 50,White
Donald Trump,29,Male,Most of the time,NY,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Liberal,1,0,21 to 35,White
Donald Trump,55,Male,Most of the time,FL,"$45,000 to $49,999",Not Hispanic,Masters degree,Conservative,1,0,51 to 65,White
Donald Trump,18,Female,Some of the time,MS,"Less than $14,999",Not Hispanic,Completed some high school,Not Sure,1,0,20 or less,White
Donald Trump,49,Female,Some of the time,TX,"$15,000 to $19,999",Not Hispanic,High school graduate,Moderate,1,0,36 to 50,White
Donald Trump,57,Female,Most of the time,VA,"$15,000 to $19,999",Not Hispanic,High school graduate,Very Conservative,1,0,51 to 65,White
Joe Biden,22,Female,Some of the time,WI,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,21 to 35,White
Donald Trump,57,Male,Most of the time,NC,"$45,000 to $49,999",Not Hispanic,High school graduate,Conservative,1,0,51 to 65,White
Joe Biden,62,Female,Most of the time,TX,"$45,000 to $49,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,51 to 65,White
Joe Biden,31,Female,Only now and then,NC,"$35,000 to $39,999",Not Hispanic,High school graduate,Moderate,0,1,21 to 35,White
Donald Trump,76,Female,Hardly at all,OH,"$25,000 to $29,999",Not Hispanic,Associate Degree,Moderate,1,0,66 to 80,White
Joe Biden,27,Male,Some of the time,UT,"$35,000 to $39,999",Other Hispanic,"Completed some college, but no degree",Conservative,0,1,21 to 35,White
Joe Biden,27,Female,Some of the time,TX,"Less than $14,999",Mexican,High school graduate,Liberal,0,1,21 to 35,White
Donald Trump,66,Female,Most of the time,CA,"$100,000 to $124,999",Not Hispanic,Masters degree,Conservative,1,0,66 to 80,White
Donald Trump,40,Male,Some of the time,TX,"$50,000 to $54,999",Panamanian,"Completed some college, but no degree",Very Conservative,1,0,36 to 50,Other race
Joe Biden,43,Male,Some of the time,SC,"$45,000 to $49,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,36 to 50,"Black, or African American"
Donald Trump,34,Male,Most of the time,IA,"$85,000 to $89,999",Not Hispanic,High school graduate,Conservative,1,0,21 to 35,White
Donald Trump,75,Male,Most of the time,FL,"$55,000 to $59,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,66 to 80,White
Donald Trump,65,Male,Most of the time,PA,"$45,000 to $49,999",Not Hispanic,High school graduate,Moderate,1,0,51 to 65,White
Donald Trump,40,Female,Most of the time,LA,"$15,000 to $19,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Not Sure,1,0,36 to 50,White
Joe Biden,39,Male,Most of the time,CA,"$35,000 to $39,999",Mexican,"Completed some college, but no degree",Very Liberal,0,1,36 to 50,Other race
Donald Trump,57,Female,Some of the time,MN,"$80,000 to $84,999",Not Hispanic,High school graduate,Moderate,1,0,51 to 65,White
Joe Biden,49,Male,Most of the time,KY,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Not Sure,0,1,36 to 50,White
Donald Trump,47,Male,Most of the time,MA,"Less than $14,999",Not Hispanic,Masters degree,Moderate,1,0,36 to 50,White
Donald Trump,56,Male,Most of the time,TX,"$40,000 to $44,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,51 to 65,White
Donald Trump,51,Male,Some of the time,PA,"$150,000 to $174,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,51 to 65,Other race
Joe Biden,39,Male,Most of the time,SC,"$30,000 to $34,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,36 to 50,White
Donald Trump,40,Male,Most of the time,NY,"$200,000 to $249,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Liberal,1,0,36 to 50,White
Joe Biden,40,Male,Most of the time,WA,"$125,000 to $149,999",Not Hispanic,Masters degree,Very Conservative,0,1,36 to 50,White
Joe Biden,69,Male,Some of the time,NY,"$15,000 to $19,999",Not Hispanic,Completed some high school,Moderate,0,1,66 to 80,"Black, or African American"
Joe Biden,67,Male,Most of the time,CT,"$85,000 to $89,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,66 to 80,White
Donald Trump,63,Male,Hardly at all,IL,"$150,000 to $174,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,51 to 65,White
Joe Biden,73,Male,Most of the time,VA,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,66 to 80,White
Joe Biden,59,Male,Most of the time,OH,"$175,000 to $199,999",Not Hispanic,Masters degree,Liberal,0,1,51 to 65,White
Joe Biden,48,Female,Most of the time,MD,"$40,000 to $44,999",Not Hispanic,Masters degree,Liberal,0,1,36 to 50,"Black, or African American"
Donald Trump,42,Male,Most of the time,TX,"$200,000 to $249,999",Not Hispanic,Masters degree,Very Liberal,1,0,36 to 50,White
Donald Trump,50,Male,Most of the time,AZ,"$100,000 to $124,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,36 to 50,White
Donald Trump,53,Male,Most of the time,PA,"$75,000 to $79,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,51 to 65,White
Joe Biden,30,Male,Most of the time,TN,"$100,000 to $124,999",Mexican,"College Degree (such as B.A., B.S.)",Liberal,0,1,21 to 35,Other race
Joe Biden,36,Male,Some of the time,NY,"$45,000 to $49,999",Not Hispanic,Completed some high school,Moderate,0,1,36 to 50,White
Donald Trump,58,Female,Some of the time,WV,"$20,000 to $24,999",Not Hispanic,High school graduate,Moderate,1,0,51 to 65,White
Joe Biden,25,Male,Some of the time,OH,"$100,000 to $124,999",Mexican,Associate Degree,Moderate,0,1,21 to 35,Other race
Joe Biden,64,Female,Most of the time,NC,"$40,000 to $44,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,51 to 65,White
Joe Biden,67,Female,Some of the time,PA,"$35,000 to $39,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,66 to 80,White
Donald Trump,47,Female,Most of the time,MI,"Less than $14,999",Other Hispanic,"Completed some college, but no degree",Moderate,1,0,36 to 50,White
Joe Biden,37,Female,Most of the time,NC,"$90,000 to $94,999",Not Hispanic,Doctorate degree,Moderate,0,1,36 to 50,White
Joe Biden,40,Female,Most of the time,TN,"$100,000 to $124,999",Not Hispanic,Masters degree,Very Liberal,0,1,36 to 50,White
Joe Biden,37,Male,Most of the time,FL,"$175,000 to $199,999",Not Hispanic,Masters degree,Very Liberal,0,1,36 to 50,White
Donald Trump,74,Female,Most of the time,PA,"$35,000 to $39,999",Not Hispanic,High school graduate,Very Conservative,1,0,66 to 80,White
Donald Trump,46,Male,Most of the time,OH,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,36 to 50,White
Joe Biden,58,Female,Most of the time,FL,"$60,000 to $64,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Liberal,0,1,51 to 65,White
Joe Biden,69,Female,Some of the time,MO,"$15,000 to $19,999",Not Hispanic,"Completed some college, but no degree",Moderate,0,1,66 to 80,"Black, or African American"
Donald Trump,72,Male,Most of the time,MI,"$20,000 to $24,999",Not Hispanic,Associate Degree,Moderate,1,0,66 to 80,other asian or pacific islander
Donald Trump,38,Male,Most of the time,NY,"$175,000 to $199,999",Not Hispanic,Masters degree,Moderate,1,0,36 to 50,White
Donald Trump,41,Male,Most of the time,TX,"$150,000 to $174,999",Not Hispanic,Masters degree,Conservative,1,0,36 to 50,White
Donald Trump,42,Male,Some of the time,NY,"$150,000 to $174,999",Not Hispanic,Masters degree,Very Liberal,1,0,36 to 50,White
Donald Trump,60,Female,Some of the time,IL,"Less than $14,999",Not Hispanic,High school graduate,Moderate,1,0,51 to 65,White
Joe Biden,57,Female,Most of the time,NY,"$200,000 to $249,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,51 to 65,White
Joe Biden,27,Female,Only now and then,OH,"Less than $14,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,21 to 35,"Black, or African American"
Joe Biden,57,Female,Some of the time,AL,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,0,1,51 to 65,Other race
Donald Trump,37,Female,Some of the time,MD,"$35,000 to $39,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,1,0,36 to 50,White
Joe Biden,38,Male,Most of the time,KS,"$150,000 to $174,999",Not Hispanic,Masters degree,Moderate,0,1,36 to 50,White
Donald Trump,42,Male,Most of the time,VA,"$250,000 and above",Not Hispanic,Masters degree,Very Conservative,1,0,36 to 50,White
Joe Biden,77,Male,Most of the time,NJ,"$90,000 to $94,999",Not Hispanic,"Completed some college, but no degree",Very Liberal,0,1,66 to 80,White
Joe Biden,65,Female,Most of the time,CA,"$95,000 to $99,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,0,1,51 to 65,White
Joe Biden,40,Male,Most of the time,NY,"$250,000 and above",Not Hispanic,Masters degree,Moderate,0,1,36 to 50,White
Donald Trump,78,Female,Most of the time,NJ,"$20,000 to $24,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,1,0,66 to 80,White
Joe Biden,39,Male,Only now and then,CT,"$150,000 to $174,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,0,1,36 to 50,White
Donald Trump,39,Male,Most of the time,NY,"$150,000 to $174,999",Not Hispanic,Masters degree,Very Conservative,1,0,36 to 50,White
Donald Trump,30,Female,Most of the time,TN,"$50,000 to $54,999",Not Hispanic,High school graduate,Very Liberal,1,0,21 to 35,White
Joe Biden,43,Male,Most of the time,CA,"$150,000 to $174,999",Not Hispanic,Masters degree,Very Liberal,0,1,36 to 50,White
Donald Trump,67,Female,Most of the time,FL,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,66 to 80,White
Joe Biden,83,Female,Some of the time,NJ,"$50,000 to $54,999",Not Hispanic,High school graduate,Moderate,0,1,above 80,White
Donald Trump,46,Male,Only now and then,CA,"$25,000 to $29,999",Not Hispanic,High school graduate,Conservative,1,0,36 to 50,White
Joe Biden,30,Female,Some of the time,NH,"$35,000 to $39,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Liberal,0,1,21 to 35,White
Donald Trump,68,Female,Most of the time,PA,"$55,000 to $59,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,66 to 80,White
Joe Biden,41,Male,Some of the time,CA,"$50,000 to $54,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,36 to 50,White
Donald Trump,68,Female,Some of the time,NY,"$15,000 to $19,999",Not Hispanic,Associate Degree,Liberal,1,0,66 to 80,White
Joe Biden,68,Male,Most of the time,PA,"$150,000 to $174,999",Not Hispanic,Masters degree,Moderate,0,1,66 to 80,White
Joe Biden,19,Female,Some of the time,CA,"$45,000 to $49,999",Mexican,High school graduate,Moderate,0,1,20 or less,"Black, or African American"
Joe Biden,64,Male,Most of the time,PA,"$150,000 to $174,999",Not Hispanic,"Completed some college, but no degree",Liberal,0,1,51 to 65,White
Joe Biden,56,Female,Some of the time,MO,"$40,000 to $44,999",Not Hispanic,High school graduate,Very Liberal,0,1,51 to 65,"Black, or African American"
Donald Trump,51,Male,Most of the time,NY,"$95,000 to $99,999",Other Hispanic,Masters degree,Moderate,1,0,51 to 65,Other race
Joe Biden,29,Female,Only now and then,OH,"$75,000 to $79,999",Not Hispanic,Associate Degree,Moderate,0,1,21 to 35,White
Donald Trump,30,Male,Only now and then,MO,"Less than $14,999",Not Hispanic,Completed some high school,Conservative,1,0,21 to 35,White
Joe Biden,42,Male,Most of the time,NY,"$125,000 to $149,999",Not Hispanic,Masters degree,Moderate,0,1,36 to 50,White
