vote_2020,age,gender,interest,state,household_income,hispanic,education,ideo5,vote_trump,vote_Biden,agegroup,race
Donald Trump,71,Male,Most of the time,TN,"$50,000 to $54,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,66 to 80,White
Donald Trump,63,Female,Some of the time,ID,"$125,000 to $149,999",Not Hispanic,"Completed some college, but no degree",Very Conservative,1,0,51 to 65,White
Joe Biden,47,Male,Some of the time,NY,"Less than $14,999",Other Hispanic,Associate Degree,Moderate,0,1,36 to 50,"Black, or African American"
Donald Trump,30,Female,Some of the time,NJ,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,1,0,21 to 35,White
Joe Biden,46,Female,Hardly at all,UT,"$35,000 to $39,999",Mexican,High school graduate,Conservative,0,1,36 to 50,White
Donald Trump,34,Female,Only now and then,IL,"Less than $14,999",Mexican,"Completed some college, but no degree",Liberal,1,0,21 to 35,"Black, or African American"
Joe Biden,54,Male,Only now and then,MI,"$55,000 to $59,999",Not Hispanic,Associate Degree,Conservative,0,1,51 to 65,White
Donald Trump,72,Male,Most of the time,SD,"$55,000 to $59,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,66 to 80,White
Joe Biden,51,Male,Only now and then,CA,"$85,000 to $89,999",Not Hispanic,Associate Degree,Moderate,0,1,51 to 65,"Black, or African American"
Donald Trump,71,Male,Only now and then,NY,"Less than $14,999",Not Hispanic,Associate Degree,Moderate,1,0,66 to 80,White
Joe Biden,62,Male,Most of the time,CA,"Less than $14,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Moderate,0,1,51 to 65,Chinese
Donald Trump,58,Male,Most of the time,MI,"$125,000 to $149,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,51 to 65,White
Joe Biden,70,Male,Most of the time,IL,"$45,000 to $49,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,0,1,66 to 80,White
Donald Trump,66,Male,Only now and then,GA,"$95,000 to $99,999",Not Hispanic,Associate Degree,Very Conservative,1,0,66 to 80,White
Joe Biden,50,Male,Some of the time,NY,"$40,000 to $44,999",Not Hispanic,High school graduate,Liberal,0,1,36 to 50,White
Donald Trump,45,Male,Most of the time,TX,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Conservative,1,0,36 to 50,White
Joe Biden,55,Female,Most of the time,NV,"$60,000 to $64,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Liberal,0,1,51 to 65,other asian or pacific islander
Donald Trump,48,Female,Some of the time,IN,"$85,000 to $89,999",Not Hispanic,High school graduate,Conservative,1,0,36 to 50,White
Donald Trump,35,Female,Most of the time,OH,"$100,000 to $124,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Liberal,1,0,21 to 35,White
Donald Trump,56,Male,Most of the time,NY,"$60,000 to $64,999",Not Hispanic,"Completed some college, but no degree",Conservative,1,0,51 to 65,White
Joe Biden,42,Male,Most of the time,WV,"Less than $14,999",Not Hispanic,High school graduate,Moderate,0,1,36 to 50,White
Joe Biden,59,Male,Most of the time,CA,"$30,000 to $34,999",Mexican,"College Degree (such as B.A., B.S.)",Moderate,0,1,51 to 65,Other race
Donald Trump,41,Male,Most of the time,IN,"$200,000 to $249,999",Not Hispanic,"College Degree (such as B.A., B.S.)",Very Conservative,1,0,36 to 50,White
